,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,BollingerB_10,Bollinger%b_10
79,2014-07-03,2169.0029999999997,2184.964,2180.192,2164.843,63690688.0,9.325,0.43,2166.199,2152.91,2154.923,56745274.4,48948097.2,48786875.6,0.030565009458634683,0.9145951172278515
80,2014-07-04,2180.445,2183.798,2178.695,2174.073,52851104.0,-1.4969999999999999,-0.07,2171.886,2157.107,2157.1220000000003,56770916.0,49993835.6,49642528.0,0.03189491128053818,0.8137801153866596
81,2014-07-07,2178.5460000000003,2186.202,2176.2889999999998,2171.083,50242336.0,-2.406,-0.11,2174.12,2161.325,2159.222,55958545.6,50900143.6,50189091.8,0.02973857523211607,0.7328193937855023
82,2014-07-08,2174.828,2180.778,2180.473,2163.359,50743600.0,4.184,0.19,2177.303,2164.89,2160.183,55442645.6,51958068.0,50200876.6,0.029479235989710844,0.7441769285754108
83,2014-07-09,2178.135,2178.51,2148.71,2148.26,62022048.0,-31.763,-1.46,2172.8720000000003,2166.424,2159.58,55909955.2,54393662.8,51173793.0,0.024119426453592184,0.1610006146399913
84,2014-07-10,2146.601,2151.774,2142.847,2139.522,55732496.0,-5.8629999999999995,-0.27,2165.403,2165.801,2159.052,54318316.8,55531795.6,51809125.6,0.02602354896362391,0.09274205993824439
85,2014-07-11,2136.317,2154.735,2148.009,2134.795,61374272.0,5.162000000000001,0.24,2159.266,2165.576,2157.64,56022950.4,56396933.2,51915195.4,0.026563009274804886,0.19461728948077975
86,2014-07-14,2149.542,2171.902,2171.758,2145.278,66158864.0,23.749000000000002,1.11,2158.359,2166.24,2156.635,59206256.0,57582400.8,52058294.8,0.02679347196010145,0.5950723046085143
87,2014-07-15,2170.089,2176.272,2174.976,2165.206,71815696.0,3.218,0.15,2157.26,2167.282,2156.9,63420675.2,59431660.4,53152396.4,0.02721965085987322,0.6304298111704703
88,2014-07-16,2172.824,2183.248,2170.868,2166.774,81560232.0,-4.1080000000000005,-0.19,2161.692,2167.282,2157.4320000000002,67328312.0,61619133.6,54757213.2,0.02721969946435854,0.5607922092649034
89,2014-07-17,2166.831,2166.9320000000002,2157.0679999999998,2147.084,59453568.0,-13.8,-0.64,2164.536,2164.969,2158.94,68072526.4,61195421.6,55071759.4,0.026430340694424317,0.36191578099062904
90,2014-07-18,2147.663,2176.325,2164.144,2145.446,65473296.0,7.0760000000000005,0.33,2167.763,2163.514,2160.31,68892331.2,62457640.8,56225738.2,0.02490315427838439,0.5116893011434592
91,2014-07-21,2164.223,2171.94,2166.295,2158.955,54172260.0,2.151,0.1,2166.67,2162.515,2161.92,66495010.4,62850633.2,56875388.4,0.02361871603568661,0.5740115338165335
92,2014-07-22,2162.436,2197.592,2192.698,2162.236,78542584.0,26.403000000000002,1.22,2170.215,2163.737,2164.314,67840388.0,65630531.6,58794299.8,0.02783913056262495,0.9807827256558007
93,2014-07-23,2191.394,2210.282,2197.833,2190.555,84213872.0,5.135,0.23,2175.6079999999997,2168.65,2167.5370000000003,68371116.0,67849714.0,61121688.4,0.03216165034584642,0.9184158958576826
94,2014-07-24,2199.833,2239.815,2237.015,2199.833,119435536.0,39.181999999999995,1.78,2191.597,2178.0660000000003,2171.9339999999997,80367509.6,74220018.0,64875906.8,0.04685225802203806,1.077659411565694
95,2014-07-25,2243.067,2260.89,2260.4539999999997,2239.0660000000003,98972840.0,23.439,1.05,2210.859,2189.311,2177.4429999999998,87067418.4,77979874.8,67188404.0,0.0623392329484112,1.0212713929399164
96,2014-07-28,2272.383,2331.472,2323.897,2272.383,179869328.0,63.443000000000005,2.81,2242.379,2204.525,2185.382,112206832.0,89350921.2,73466661.0,0.09746419314911546,1.0555755401722402
97,2014-07-29,2326.038,2342.77,2331.369,2316.217,134269648.0,7.472,0.32,2270.114,2220.1639999999998,2193.723,123352244.8,95596316.4,77513988.4,0.11820235825351347,0.9237529228908643
98,2014-07-30,2324.69,2339.038,2322.011,2316.058,123022832.0,-9.357999999999999,-0.4,2294.949,2235.278,2201.28,131114036.8,99742576.4,80680855.0,0.12568507841828003,0.8087216051524286
99,2014-07-31,2321.967,2350.551,2350.251,2316.585,110987768.0,28.24,1.22,2317.596,2254.597,2209.783,129424483.2,104895996.4,83045709.0,0.12925074237438375,0.8282483749066244
100,2014-08-01,2341.2270000000003,2371.5,2329.402,2328.966,126317392.0,-20.849,-0.89,2331.386,2271.123,2217.3179999999998,134893393.6,110980406.0,86719023.4,0.12095859594804731,0.712147794053752
101,2014-08-04,2336.63,2375.62,2375.62,2332.138,116713752.0,46.218,1.98,2341.731,2292.055,2227.285,122262278.4,117234555.2,90042594.2,0.11339679065271469,0.8215130604313191
102,2014-08-05,2376.797,2380.774,2369.353,2353.795,111861792.0,-6.267,-0.26,2349.327,2309.721,2236.729,117780707.2,120566476.0,93098503.8,0.10160884295739202,0.7540926378733271
103,2014-08-06,2358.206,2371.667,2363.221,2334.334,116341832.0,-6.132000000000001,-0.26,2357.569,2326.259,2247.4539999999997,116444507.2,123779272.0,95814493.0,0.07814804270964022,0.7033179443885598
104,2014-08-07,2363.6079999999997,2369.2039999999997,2327.4570000000003,2326.268,116729208.0,-35.764,-1.51,2353.011,2335.304,2256.685,117592795.2,123508639.2,98864328.6,0.05654597409907796,0.44058023102230315
105,2014-08-08,2329.1839999999997,2339.27,2331.134,2319.288,86739696.0,3.677,0.16,2353.357,2342.3720000000003,2265.841,109677256.0,122285324.8,100132599.8,0.034737087039739795,0.3618914605035694
106,2014-08-11,2338.008,2367.004,2365.349,2337.014,91601168.0,34.215,1.47,2351.303,2346.5170000000003,2275.521,104654739.2,113458508.8,101404715.0,0.03474470369584582,0.7309888954520496
107,2014-08-12,2361.17,2361.17,2357.052,2344.716,91822608.0,-8.297,-0.35,2348.843,2349.085,2284.625,100646902.4,109213804.8,102405060.6,0.033839941881937605,0.6002227873489915
108,2014-08-13,2358.459,2370.513,2358.901,2335.694,110447792.0,1.849,0.08,2347.979,2352.774,2294.026,99468094.4,107956300.8,103849438.6,0.02988953763092431,0.5871261395116223
109,2014-08-14,2357.198,2363.18,2335.945,2334.08,97969496.0,-22.956,-0.97,2349.676,2351.343,2302.97,95716152.0,106654473.6,105775235.0,0.0312555822721267,0.29047688454690074
110,2014-08-15,2337.985,2366.902,2360.635,2333.123,93592544.0,24.69,1.06,2355.576,2354.467,2312.795,97086721.6,103381988.8,107181197.4,0.02857155347627625,0.5916936120617892
111,2014-08-18,2366.272,2379.804,2374.562,2361.197,104509552.0,13.927,0.59,2357.419,2354.361,2323.208,99668398.4,102161568.8,109698062.0,0.028326214315357832,0.8029098843728832
112,2014-08-19,2378.886,2379.474,2374.768,2358.965,115850016.0,0.20600000000000002,0.01,2360.962,2354.902,2332.311,104473880.0,102560391.2,111563433.6,0.02936861742155564,0.7872402343776634
113,2014-08-20,2371.649,2375.475,2366.14,2360.837,101288088.0,-8.628,-0.36,2362.41,2355.194,2340.7270000000003,102641939.2,101055016.8,112417144.4,0.029670258676491777,0.6566374002962814
114,2014-08-21,2365.731,2367.46,2354.244,2333.299,100690208.0,-11.895999999999999,-0.5,2366.07,2357.873,2346.5879999999997,103186081.6,99451116.8,111479878.0,0.024691135516861196,0.43766592836745294
115,2014-08-22,2352.3160000000003,2368.4570000000003,2365.364,2350.986,89823936.0,11.12,0.47,2367.016,2361.2960000000003,2351.834,102432360.0,99759540.8,111022432.8,0.018985649148537873,0.5907413135867933
116,2014-08-25,2367.019,2367.606,2342.863,2338.455,97373720.0,-22.500999999999998,-0.95,2360.676,2359.047,2352.782,101005193.6,100336796.0,106897652.4,0.021172725558259702,0.17597153148784175
117,2014-08-26,2339.6,2350.391,2324.092,2317.1839999999997,93844224.0,-18.771,-0.8,2350.541,2355.751,2352.4179999999997,96604035.2,100538957.6,104876381.2,0.028370525187155923,0.026297314652218635
118,2014-08-27,2323.79,2336.737,2327.595,2322.885,67676224.0,3.503,0.15,2342.8320000000003,2352.621,2352.697,89881662.4,96261800.8,102109050.8,0.03204692029353209,0.16806753058408316
119,2014-08-28,2328.0589999999997,2336.363,2311.278,2309.639,70490656.0,-16.317,-0.7,2334.238,2350.154,2350.749,83841752.0,93513916.8,100084195.2,0.03834350675257998,0.06858571505611026
120,2014-08-29,2317.304,2338.774,2338.2870000000003,2313.262,63211424.0,27.009,1.17,2328.823,2347.919,2351.1929999999998,78519249.6,90475804.8,96928896.8,0.03830024583211515,0.39288623790849797
121,2014-09-01,2340.925,2355.552,2355.317,2338.53,77320872.0,17.03,0.73,2331.314,2345.995,2350.178,74508680.0,87756936.8,94959252.8,0.03529508629881763,0.6125841161895937
122,2014-09-02,2359.862,2387.655,2386.46,2349.949,114436736.0,31.143,1.32,2343.7870000000003,2347.1639999999998,2351.033,78627182.4,87615608.8,95088000.0,0.03874691022572608,0.9320836501609636
123,2014-09-03,2389.694,2414.26,2408.8379999999997,2389.679,129734208.0,22.378,0.94,2360.036,2351.4339999999997,2353.314,91038779.2,90460220.8,95757618.8,0.05044256742270701,0.9839647484428078
124,2014-09-04,2411.9339999999997,2427.297,2426.224,2404.0820000000003,111272296.0,17.386,0.72,2383.025,2358.632,2358.252,99195107.2,91518429.6,95484773.2,0.06440772382375137,0.9449369579182595
125,2014-09-05,2433.174,2450.634,2449.259,2427.987,133551760.0,23.035,0.95,2405.22,2367.021,2364.159,113263174.4,95891212.0,97825376.4,0.08054430985251831,0.9313540946882135
126,2014-09-09,2452.2270000000003,2454.893,2445.224,2437.078,118194344.0,-4.035,-0.17,2423.201,2377.257,2368.152,121437868.8,97973274.4,99155035.2,0.08855663768653457,0.8228480876031673
127,2014-09-10,2435.593,2437.081,2432.433,2422.646,109175520.0,-12.790999999999999,-0.52,2432.396,2388.091,2371.9210000000003,120385625.6,99506404.0,100022680.8,0.08644810205038278,0.7147850032948588
128,2014-09-11,2430.678,2461.473,2423.4539999999997,2417.269,132982584.0,-8.979,-0.37,2435.319,2397.677,2375.149,121035300.8,106037040.0,101149420.4,0.0799025636709988,0.634547046445491
129,2014-09-12,2418.752,2438.3579999999997,2438.3579999999997,2412.6220000000003,109160168.0,14.904000000000002,0.61,2437.746,2410.385,2380.27,120612875.2,109903991.2,101708954.0,0.06360309286526974,0.6824601855340741
130,2014-09-15,2433.001,2439.254,2437.189,2418.959,122247160.0,-1.169,-0.05,2435.3320000000003,2420.276,2384.097,118351955.2,115807564.8,103141684.8,0.04853788077986157,0.6439744031779027
131,2014-09-16,2440.339,2442.924,2388.765,2386.98,186742784.0,-48.424,-1.99,2424.04,2423.62,2384.808,132061643.2,126749756.0,107253346.4,0.036592199955378775,0.10697791863724886
132,2014-09-17,2395.361,2405.371,2401.326,2379.091,125269024.0,12.561,0.53,2417.8179999999998,2425.107,2386.136,135280344.0,127832984.8,107724296.8,0.032611225311354054,0.19930092598130175
133,2014-09-18,2396.379,2414.946,2408.6639999999998,2389.6220000000003,115926376.0,7.337999999999999,0.31,2414.86,2425.09,2388.262,131869102.4,126452201.6,108456211.2,0.03263781481044558,0.2924740648447847
134,2014-09-19,2409.313,2430.149,2425.2110000000002,2402.313,101813576.0,16.547,0.69,2412.231,2424.988,2391.81,130399784.0,125506329.6,108512379.6,0.03263281094224085,0.5028142072955847
135,2014-09-22,2419.326,2419.326,2378.92,2374.1079999999997,102240872.0,-46.291000000000004,-1.91,2400.577,2417.9539999999997,2392.488,126398526.4,122375240.8,109133226.4,0.03724078838085568,0.06650855049256975
136,2014-09-23,2379.521,2402.482,2399.462,2379.521,84033344.0,20.541999999999998,0.86,2402.717,2413.3779999999997,2395.3179999999998,105856638.4,118959140.8,108466207.6,0.03472206265216337,0.3339305452124019
137,2014-09-24,2391.419,2443.978,2441.864,2387.07,142713536.0,42.402,1.77,2410.824,2414.321,2401.206,109345540.8,122312942.4,110909673.2,0.03658840903690336,0.8117941196291595
138,2014-09-25,2453.423,2462.6679999999997,2436.965,2429.587,138661888.0,-4.899,-0.2,2416.484,2415.672,2406.675,113892643.2,122880872.8,114458956.4,0.03824197995678769,0.7304890451137962
