date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-26,3365.2,3367.83,3354.8,3349.57,980247.88,-12.65,-0.38,3347.234,3326.012,3295.847,1102509.74,1004937.28,824828.92
2016-10-25,3367.48,3373.91,3367.45,3356.59,1111916.88,-0.13,-0.0,3339.522,3320.533,3291.439,1108795.61,975582.28,805388.01
2016-10-24,3332.51,3382.83,3367.58,3330.97,1530143.5,39.84,1.2,3330.298,3314.444,3285.937,1092133.66,952103.75,776184.27
2016-10-21,3315.72,3341.56,3327.74,3309.18,1097851.75,9.14,0.28,3312.358,3307.073,3280.714,958331.97,879608.66,729092.64
2016-10-20,3317.18,3324.9,3318.6,3312.17,792388.69,2.36,0.07,3307.98,3299.627,3276.263,903394.16,814801.51,709416.4
2016-10-19,3323.3,3332.52,3316.24,3309.83,1011677.25,-5.09,-0.15,3304.79,3292.206,3273.35,907364.82,791015.2,703387.11
2016-10-18,3272.68,3321.33,3321.33,3272.68,1028607.12,43.45,1.33,3301.544,3283.671,3270.668,842368.94,734574.97,714262.09
2016-10-17,3305.96,3309.01,3277.88,3271.54,861135.06,-27.97,-0.85,3298.59,3275.613,3270.503,812073.84,690174.81,704160.25
2016-10-14,3298.73,3306.69,3305.85,3285.73,823162.69,3.2,0.1,3301.788,3269.853,3273.587,800885.35,674513.49,697061.58
2016-10-13,3299.16,3307.41,3302.65,3292.4,812242.0,2.64,0.08,3291.274,3266.835,3275.336,726208.85,650191.21,707373.5
2016-10-12,3299.14,3302.56,3300.01,3289.75,686697.81,-6.55,-0.2,3279.622,3265.682,3277.335,674665.57,644720.55,715903.4
2016-10-11,3296.87,3308.0,3306.56,3292.88,877131.62,12.69,0.39,3265.798,3262.345,3278.318,626781.0,635193.75,720714.74
2016-10-10,3265.36,3294.64,3293.87,3258.96,805192.62,40.59,1.25,3252.636,3257.429,3278.696,568275.77,600264.79,718254.06
2016-09-30,3240.18,3260.94,3253.28,3239.04,449780.22,8.89,0.27,3237.918,3254.354,3279.081,548141.63,578576.61,720468.04
2016-09-29,3234.86,3257.77,3244.39,3234.8,554525.56,13.5,0.42,3242.396,3252.899,3282.807,574173.56,604031.29,737764.43
2016-09-28,3243.65,3243.65,3230.89,3228.0,447274.97,-9.86,-0.3,3251.742,3254.493,3286.187,614775.53,615759.02,747901.15
2016-09-27,3214.87,3240.78,3240.75,3214.44,584605.5,20.47,0.64,3258.892,3257.664,3290.031,643606.5,693949.21,764055.57
2016-09-26,3267.69,3267.69,3220.28,3220.28,704521.88,-55.39,-1.69,3262.222,3265.393,3293.348,632253.81,718145.7,775590.64
2016-09-23,3292.28,3293.92,3275.67,3275.03,579939.88,-15.45,-0.47,3270.79,3277.321,3297.783,609011.6,719609.67,790659.12
2016-09-22,3281.47,3303.2,3291.12,3277.98,757535.44,24.48,0.75,3263.402,3283.836,3300.492,633889.02,764555.79,802257.84
2016-09-21,3257.71,3270.9,3266.64,3254.32,591429.81,9.24,0.28,3257.244,3288.987,3303.028,616742.51,787086.24,810843.33
